     FID      IID       O(HOM)       E(HOM)        N(NM)            F
  AlLS01   AlLS01        85347    8.441e+04       110761       0.0357
  AlLS02   AlLS02        84117    8.441e+04       110761     -0.01097
  AlLS03   AlLS03        85830    8.441e+04       110761      0.05402
  AlLS04   AlLS04        85309    8.441e+04       110761      0.03425
  AlLS05   AlLS05        83167    8.441e+04       110761     -0.04702
  AlLS06   AlLS06        84107    8.441e+04       110761     -0.01135
  AlLS07   AlLS07        77181    8.441e+04       110761      -0.2742
  AlLS08   AlLS08        84498    8.441e+04       110761     0.003482
  AlLS09   AlLS09        85195    8.441e+04       110761      0.02993
  AlLS10   AlLS10        85534    8.441e+04       110761      0.04279
  AlLS11   AlLS11        84355    8.441e+04       110761    -0.001944
  AlLS12   AlLS12        85320    8.441e+04       110761      0.03467
  AlLS13   AlLS13        83805    8.441e+04       110761     -0.02281
  AlSe01   AlSe01        86052    8.441e+04       110761      0.06245
  AlSe02   AlSe02        86683    8.441e+04       110761      0.08639
  AlSe03   AlSe03        84094    8.441e+04       110761     -0.01185
  AlSe04   AlSe04        81447    8.441e+04       110761      -0.1123
  AlSe05   AlSe05        84209    8.441e+04       110761    -0.007484
  AlSe06   AlSe06        86037    8.441e+04       110761      0.06188
  AlSe07   AlSe07        85049    8.441e+04       110761      0.02439
  AlSe08   AlSe08        85994    8.441e+04       110761      0.06025
  AlSe09   AlSe09        84835    8.441e+04       110761      0.01627
  AlSe10   AlSe10        85877    8.441e+04       110761      0.05581
  AlSe11   AlSe11        84361    8.441e+04       110761    -0.001716
  AlSe12   AlSe12        86581    8.441e+04       110761      0.08252
  AlSe13   AlSe13        86349    8.441e+04       110761      0.07372
  AlSe14   AlSe14        83618    8.441e+04       110761     -0.02991
  AlSe15   AlSe15        85355    8.441e+04       110761        0.036
  AlSe16   AlSe16        86275    8.441e+04       110761      0.07091
  AlSe17   AlSe17        86675    8.441e+04       110761      0.08609
  AlSe18   AlSe18        84833    8.441e+04       110761      0.01619
  AlSe19   AlSe19        80171    8.441e+04       110761      -0.1607
  AlSe20   AlSe20        85821    8.441e+04       110761      0.05368
  AlSe21   AlSe21        85800    8.441e+04       110761      0.05288
  AlTe01   AlTe01        84103    8.441e+04       110761     -0.01151
  AlTe02   AlTe02        72696    8.441e+04       110761      -0.4443
  AlTe03   AlTe03        84291    8.441e+04       110761    -0.004372
  AlTe04   AlTe04        84637    8.441e+04       110761     0.008756
  AlTe05   AlTe05        86587    8.441e+04       110761      0.08275
  AlTe06   AlTe06        84382    8.441e+04       110761   -0.0009194
  AlTe07   AlTe07        86105    8.441e+04       110761      0.06446
  AlTe08   AlTe08        83226    8.441e+04       110761     -0.04478
  AlTe09   AlTe09        84044    8.441e+04       110761     -0.01374
  AlTe10   AlTe10        84269    8.441e+04       110761    -0.005207
  AlTe11   AlTe11        87022    8.441e+04       110761      0.09925
  AlTe12   AlTe12        85013    8.441e+04       110761      0.02302
  AlTe13   AlTe13        85826    8.441e+04       110761      0.05387
  AlTe14   AlTe14        87831    8.441e+04       110761       0.1299
  AlTe15   AlTe15        83376    8.441e+04       110761     -0.03909
  AlTe16   AlTe16        82232    8.441e+04       110761      -0.0825
  AlTe17   AlTe17        84599    8.441e+04       110761     0.007314
  AlTe18   AlTe18        87016    8.441e+04       110761      0.09902
  AlTe19   AlTe19        84732    8.441e+04       110761      0.01236
  AlTe20   AlTe20        84821    8.441e+04       110761      0.01574
  AlVC01   AlVC01        85457    8.441e+04       110761      0.03987
  AlVC02   AlVC02        83003    8.441e+04       110761     -0.05324
  AlVC03   AlVC03        85329    8.441e+04       110761      0.03501
  AlVC04   AlVC04        83865    8.441e+04       110761     -0.02054
  AlVC05   AlVC05        82334    8.441e+04       110761     -0.07863
  AlVC06   AlVC06        84930    8.441e+04       110761      0.01987
  AlVC07   AlVC07        86571    8.441e+04       110761      0.08214
  AlVC08   AlVC08        85568    8.441e+04       110761      0.04408
  AlVC09   AlVC09        85744    8.441e+04       110761      0.05076
  AlVC10   AlVC10        85317    8.441e+04       110761      0.03456
  AlVC11   AlVC11        85494    8.441e+04       110761      0.04127
  AlVC12   AlVC12        84550    8.441e+04       110761     0.005455
  AlVC13   AlVC13        79379    8.441e+04       110761      -0.1908
  AlVC14   AlVC14        84263    8.441e+04       110761    -0.005435
  AlVC15   AlVC15        83701    8.441e+04       110761     -0.02676
  AlVC16   AlVC16        84881    8.441e+04       110761      0.01801
