sample-id,svl,weight
AlLS01,54,9
AlLS02,56,8
AlLS03,50,4
AlLS04,48,5
AlLS05,51,8
AlLS06,90,17
AlLS07,57,8
AlLS08,62,8
AlLS09,77,23
AlLS10,74,20
AlLS11,43,5
AlLS12,53,7
AlLS13,51,7
AlLSe01,65,11
AlLSe02,67,12
AlLSe03,59,10
AlLSe04,58,9
AlLSe05,55,9
AlLSe06,55,5
AlLSe07,45,4
AlLSe08,45,7
AlLSe09,45,6
AlLSe10,65,11
AlLSe11,100,18
AlLSe12,60,11
AlLSe13,60,10
AlLSe14,65,10
AlLSe15,70,12
AlLSe16,70,9
AlLSe17,85,25
AlLSe18,55,6
AlLSe19,70,14
AlLSe20,105,24
AlLSe21,80,15
AlTe01,43,5
AlTe02,62,15
AlTe03,64,12
AlTe04,62,11
AlTe05,76,11
AlTe06,61,13
AlTe07,52,4
AlTe08,32,4
AlTe09,57,8
AlTe10,47,5
AlTe11,53,7
AlTe12,52,7
AlTe13,55,7
AlTe14,42,5
AlTe15,49,7
AlTe16,54,10
AlTe17,48,5
AlTe18,42,5
AlTe19,54,9
AlTe20,44,4
AlVC01,60,8
AlVC02,63,12
AlVC03,88,30
AlVC04,89,27
AlVC05,67,16
AlVC06,54,10
AlVC07,72,16
AlVC08,68,17
AlVC09,42,3
AlVC10,65,12
AlVC11,64,11
AlVC12,74,15
AlVC13,68,13
AlVC14,66,14
AlVC15,72,15
AlVC16,72,16
AlVC17,63,11
AlVC18,59,11
AlVC19,77,19
AlVC20,65,15
AlVC21,66,15
AlO01,86,19
AlO02,45,3
AlO03,70,11
AlO04,85,24
AlO05,50,5
AlO06,65,7
AlO07,65,9
AlO08,70,17
AlO09,55,10
AlO10,65,15
AlO11,55,9
AlO12,60,7
AlO13,50,6
AlO14,65,6
AlO15,75,12
AlO16,75,17
AlO17,65,8
AlO18,80,19
AlO19,75,17
AlO20,55,6
AlO21,75,13
AlO22,55,5
AlO23,55,5
AlO24,45,4
