sample-id,Locality,Elevation ,WaterTemp,WaterPH,DO,MeanMaxTemp,MeanMinTemp,Precipitation,GeneticCluster,WaterTemp_mean,WaterPH_mean,DO_mean,BdLog,BodyCondition,MLH,Fis,BdPresence,BdPrev,PC1,Morphotype,Morphotype_tassel
AlLS01,A,3462,8.4,7.4,74,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,0,12.71050892,0.397580354,0.0357,0,30,38.60089849,Non-metamorphic,0
AlLS02,A,3462,8.4,7.4,74,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,0,10.32878631,0.401029252,-0.01097,0,30,36.31420366,Non-metamorphic,0
AlLS03,A,3462,8.4,7.4,74,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,2.762476467,6.830142645,0.389869989,0.05402,1,30,37.5247786,Non-metamorphic,0
AlLS04,A,3462,8.4,7.4,74,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,0,9.44219389,0.395594077,0.03425,0,30,38.52229163,Non-metamorphic,0
AlLS05,A,3462,8.4,7.4,74,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,0,13.00903135,0.405796316,-0.04702,0,30,38.96773846,Non-metamorphic,0
AlLS06,A,3462,8.4,7.4,74,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,0,6.80950113,0.399404117,-0.01135,0,30,39.94301224,Metamorphic,1
AlLS07,A,3462,8.4,7.4,74,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,0,9.887523033,0.445810762,-0.2742,0,30,16.54939757,Non-metamorphic,0
AlLS08,A,3462,8.4,7.4,74,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,2.380691272,8.035412646,0.40288913,0.003482,1,30,37.92317326,Non-metamorphic,0
AlLS09,A,3462,8.4,7.4,64.7,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,2.880876104,13.53703548,0.396280246,0.02993,1,30,40.71580106,Metamorphic,1
AlLS10,A,3462,8.2,7,64.7,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,0,12.98374722,0.39723727,0.04279,0,30,37.88483154,Metamorphic,1
AlLS11,A,3462,8.2,7,64.7,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,0,12.38563527,0.400957024,-0.001944,0,30,39.20387612,Non-metamorphic,0
AlLS12,A,3462,8.2,7,64.7,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,0,10.35246075,0.395413507,0.03467,0,30,38.40170574,Non-metamorphic,0
AlLS13,A,3462,8.4,7,74,20,5,20.10000038,Tlazala,8.353846154,7.276923077,71.13846154,4.212540076,11.38290243,0.400162514,-0.02281,1,100,38.33956871,Non-metamorphic,0
