Sample-ID	Locality	Elevation (meters above sea level)	MeanWaterTemp (°C)	MeanWaterpH	MeanMaxTemp (°C)	MeanMinTemp (°C)	Precipitation (mm)	DO (%)	BdPresence	BdLog (ITS copies)	BodyCondition (Scaled Mass Index)	Metamorphic_stage	Bd_Prevalence (%)	Multilocus Heterozygosity (MLH)	Inbreeding coefficent (Fis)
AlLS01	LagunaSeca	3462	8.4	7.4	74	20	5	20.10000038	0	0	12.71050892	Non-metamorphic	30	0.397580354	0.0357
AlLS02	LagunaSeca	3462	8.4	7.4	74	20	5	20.10000038	0	0	10.32878631	Non-metamorphic	30	0.401029252	-0.01097
AlLS03	LagunaSeca	3462	8.4	7.4	74	20	5	20.10000038	1	2.762476467	6.830142645	Non-metamorphic	30	0.389869989	0.05402
AlLS04	LagunaSeca	3462	8.4	7.4	74	20	5	20.10000038	0	0	9.44219389	Non-metamorphic	30	0.395594077	0.03425
AlLS05	LagunaSeca	3462	8.4	7.4	74	20	5	20.10000038	0	0	13.00903135	Non-metamorphic	30	0.405796316	-0.04702
AlLS06	LagunaSeca	3462	8.4	7.4	74	20	5	20.10000038	0	0	6.80950113	Metamorphic	30	0.399404117	-0.01135
AlLS07	LagunaSeca	3462	8.4	7.4	74	20	5	20.10000038	0	0	9.887523033	Non-metamorphic	30	0.445810762	-0.2742
AlLS08	LagunaSeca	3462	8.4	7.4	74	20	5	20.10000038	1	2.380691272	8.035412646	Non-metamorphic	30	0.40288913	0.003482
AlLS09	LagunaSeca	3462	8.4	7.4	64.7	20	5	20.10000038	1	2.880876104	13.53703548	Metamorphic	30	0.396280246	0.02993
AlLS10	LagunaSeca	3462	8.2	7	64.7	20	5	20.10000038	0	0	12.98374722	Metamorphic	30	0.39723727	0.04279
AlLS11	LagunaSeca	3462	8.2	7	64.7	20	5	20.10000038	0	0	12.38563527	Non-metamorphic	30	0.400957024	-0.001944
AlLS12	LagunaSeca	3462	8.2	7	64.7	20	5	20.10000038	0	0	10.35246075	Non-metamorphic	30	0.395413507	0.03467
AlLS13	LagunaSeca	3462	8.4	7	74	20	5	20.10000038	1	4.212540076	11.38290243	Non-metamorphic	100	0.400162514	-0.02281
AlLSe01	Seguayan	3177	14.4	7.2	70	20	6	21.29999924	1	3.925116559	9.833050273	Non-metamorphic	100	0.389219935	0.06245
AlLSe02	Seguayan	3177	14.4	7.2	70	20	6	21.29999924	1	2.200653768	9.954290485	Non-metamorphic	100	0.383947273	0.08639
AlLSe03	Seguayan	3177	14.4	7.2	70	20	6	21.29999924	1	3.044107594	11.35146822	Non-metamorphic	100	0.404929577	-0.01185
AlLSe04	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	3.822417755	10.65633913	Non-metamorphic	100	0.417479234	-0.1123
AlLSe05	Seguayan	3177	14.4	7.2	70	20	6	21.29999924	1	2.897272507	12.14801366	Non-metamorphic	100	0.402816901	-0.007484
AlLSe06	Seguayan	3177	14.4	7.2	70	20	6	21.29999924	1	3.568408041	6.748896477	Non-metamorphic	100	0.396081618	0.06188
AlLSe07	Seguayan	3177	15.1	7.5	79.4	20	6	21.29999924	1	2.796225237	8.857350856	Non-metamorphic	100	0.393048032	0.02439
AlLSe08	Seguayan	3177	15.1	7.5	79.4	20	6	21.29999924	1	4.10204918	15.500364	Non-metamorphic	100	0.396406645	0.06025
AlLSe09	Seguayan	3177	15.1	7.5	79.4	20	6	21.29999924	1	3.720561774	13.28602628	Non-metamorphic	100	0.399837486	0.01627
AlLSe10	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	2.757869251	9.833050273	Non-metamorphic	100	0.396370531	0.05581
AlLSe11	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	3.004940318	5.559872158	Metamorphic	100	0.403557241	-0.001716
AlLSe12	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	3.564268836	11.97950963	Non-metamorphic	100	0.393878657	0.08252
AlLSe13	Seguayan	3177	14.4	7.2	70	20	6	21.29999924	1	4.008896348	10.8904633	Non-metamorphic	100	0.393589744	0.07372
AlLSe14	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	5.090513274	8.939136612	Non-metamorphic	100	0.40810762	-0.02991
AlLSe15	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	1.993445195	8.93478276	Metamorphic	100	0.397815096	0.036
AlLSe16	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	4.080862552	6.70108707	Metamorphic	100	0.390682557	0.07091
AlLSe17	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	2.42459521	11.53030849	Metamorphic	100	0.384416757	0.08609
AlLSe18	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	2.128417611	8.098675772	Non-metamorphic	100	0.39877212	0.01619
AlLSe19	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	2.210766647	10.42391322	Non-metamorphic	100	0.423672806	-0.1607
AlLSe20	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	4.093415037	6.572551722	Metamorphic	100	0.391115926	0.05368
AlLSe21	Seguayan	3177	14.5	7.6	79.1	20	6	21.29999924	1	2.204085375	8.034153289	Non-metamorphic	100	0.396948357	0.05288
AlTe01	Tecpan	3087	11.3	6.5	75	20	6	21.29999924	1	3.150903459	12.38563527	Non-metamorphic	100	0.401047309	-0.01151
AlTe02	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	3.553967689	15.06639871	Non-metamorphic	100	0.472137956	-0.4443
AlTe03	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	4.130919863	11.14516891	Non-metamorphic	100	0.401679307	-0.004372
AlTe04	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	3.053904925	11.04869239	Non-metamorphic	100	0.398898519	0.008756
AlTe05	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	3.11120547	6.68640541	Non-metamorphic	100	0.39023113	0.08275
AlTe06	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	3.876487392	13.59194644	Non-metamorphic	100	0.399891658	-0.0009194
AlTe07	Tecpan	3087	11.3	6.5	75	20	6	21.29999924	1	5.054827959	6.200291671	Non-metamorphic	100	0.387847598	0.06446
AlTe08	Tecpan	3087	11.3	6.5	75	20	6	21.29999924	1	3.771679604	20.537278	Non-metamorphic	100	0.405976887	-0.04478
AlTe09	Tecpan	3087	11.3	6.5	75	20	6	21.29999924	1	5.174104925	9.887523033	Non-metamorphic	100	0.403521127	-0.01374
AlTe10	Tecpan	3087	11.3	6.5	75	20	6	21.29999924	1	3.558890881	9.945524739	Non-metamorphic	100	0.405597689	-0.005207
AlTe11	Tecpan	3087	11.3	6.5	75	20	6	21.29999924	1	5.66943399	10.35246075	Non-metamorphic	100	0.385771036	0.09925
AlTe12	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	4.163187559	10.85051042	Non-metamorphic	100	0.400722282	0.02302
AlTe13	Tecpan	3087	11.3	6.5	75	20	6	21.29999924	1	4.175724743	9.448455068	Non-metamorphic	100	0.390068617	0.05387
AlTe14	Tecpan	3087	10.1	6.47	81.4	20	6	21.29999924	1	3.310464204	13.12583109	Non-metamorphic	100	0.377988443	0.1299
AlTe15	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	2.943758857	12.56351731	Non-metamorphic	100	0.408071506	-0.03909
AlTe16	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	3.013187331	14.12278768	Non-metamorphic	100	0.414030336	-0.0825
AlTe17	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	2.865645631	9.44219389	Non-metamorphic	100	0.398049837	0.007314
AlTe18	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	2.299439078	13.12583109	Non-metamorphic	100	0.396370531	0.09902
AlTe19	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	1.797838946	12.71050892	Non-metamorphic	100	0.400830625	0.01236
AlTe20	Tecpan	3087	10.1	6.7	85.1	20	6	21.29999924	1	3.201090074	9.362230029	Non-metamorphic	100	0.404460094	0.01574
AlVC01	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	4.701145083	8.712370639	Non-metamorphic	100	0.41007584	0.03987
AlVC02	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	4.502857764	11.5866549	Non-metamorphic	100	0.421650415	-0.05324
AlVC03	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	2.542113422	12.70173621	Non-metamorphic	100	0.40227519	0.03501
AlVC04	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	2.373486288	11.11732341	Metamorphic	100	0.414247021	-0.02054
AlVC05	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	3.358784287	13.27238731	Non-metamorphic	100	0.42708559	-0.07863
AlVC06	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	4.241521429	14.12278768	Non-metamorphic	100	0.41682918	0.01987
AlVC07	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	3.652319378	11.11329676	Non-metamorphic	100	0.406229686	0.08214
AlVC08	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	3.60402117	13.59585091	Non-metamorphic	100	0.406031058	0.04408
AlVC09	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	2.404021844	7.875498651	Non-metamorphic	100	0.408522932	0.05076
AlVC10	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	3.010576061	10.72696393	Non-metamorphic	100	0.411448176	0.03456
AlVC11	VillaCarbon	2744	17.8	8.1	117.7	24	7	16.20000076	1	2.68216174	10.21640483	Non-metamorphic	100	0.407746479	0.04127
AlVC12	VillaCarbon	2744	18.4	8	117.7	24	7	16.20000076	1	2.70633222	9.737810412	Metamorphic	100	0.420007223	0.005455
AlVC13	VillaCarbon	2744	18.4	8	109.2	24	7	16.20000076	1	3.040092148	10.39682717	Non-metamorphic	100	0.441133983	-0.1908
AlVC14	VillaCarbon	2744	18.4	8	109.2	24	7	16.20000076	1	5.077439062	12.05222889	Non-metamorphic	100	0.419989166	-0.005435
AlVC15	VillaCarbon	2744	18.4	8	109.2	24	7	16.20000076	1	2.750331686	10.41871572	Non-metamorphic	100	0.424106176	-0.02676
AlVC16	VillaCarbon	2744	18.4	8	109.2	24	7	16.20000076	1	5.118165697	11.11329676	Metamorphic	100	0.409552185	0.01801
AlVC17	VillaCarbon	2744	18.4	8	109.2	24	7	16.20000076	1	3.963554699	10.62110032	Non-metamorphic	100	0.416775009	-0.002058
AlVC18	VillaCarbon	2744	18.8	8.3	109.2	24	7	16.20000076	1	3.682344416	12.48661504	Non-metamorphic	100	0.415456844	0.04848
AlVC19	VillaCarbon	2744	18.8	8.3	109.8	24	7	16.20000076	1	2.561764473	11.18276844	Non-metamorphic	100	0.410798122	0.01752
AlVC20	VillaCarbon	2744	18.8	8.3	109.8	24	7	16.20000076	0	0	13.40870492	Non-metamorphic	100	0.442434092	-0.2054
AlVC21	VillaCarbon	2744	18.8	8.3	109.8	24	7	16.20000076	1	4.069121286	12.91310238	Non-metamorphic	100	0.414301192	0.009363
AlO01	Organillos	3433	9.715	6.63	109.8	19	5	104.3000031	1	3.834008732	8.513818773	Metamorphic	70	0.386222463	0.07098
AlO02	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	1	3.520280062	6.643013142	Non-metamorphic	70	0.386728061	0.04704
AlO03	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	1	2.077078657	8.19021753	Metamorphic	70	0.378620441	0.1574
AlO04	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	0	0	11.06909615	Metamorphic	70	0.402943301	-0.02289
AlO05	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	0	0	8.537678306	Non-metamorphic	70	0.396785843	0.02568
AlO06	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	1	3.817821702	6.257395629	Metamorphic	70	0.360491152	0.2635
AlO07	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	1	5.525785291	8.045222951	Metamorphic	70	0.38010112	0.09421
AlO08	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	0	0	12.65760891	Metamorphic	70	0.387721199	0.04541
AlO09	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	0	0	13.49779295	Metamorphic	70	0.389093536	0.1461
AlO10	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	1	4.632998623	13.40870492	Non-metamorphic	70	0.401155652	0.002571
AlO11	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	0	0	12.14801366	Metamorphic	70	0.37739256	0.154
AlO12	Organillos	3433	9.715	6.63	103.66	19	5	104.3000031	0	0	7.623324309	Metamorphic	70	0.384886241	0.07542
