"","Elevation","WaterTemp","DO","BdLog","BodyCondition"
"CM030322.1:4501050",0.119277547934324,0.0365128336198264,0.926837635464311,0.78847999155203,0.99998373797515
"CM030322.1:52913600",0.0165344292186207,0.0217959000398993,0.943844229410045,0.99998373797515,0.99998373797515
"CM030322.1:74615153",0.991152639241894,0.552221602559677,0.0230699362128132,0.99998373797515,0.963420586747094
"CM030322.1:83949835",0.0288836011418025,0.299291290583066,0.39742861762991,0.87218331489481,0.99998373797515
"CM030322.1:84530693",0.0175199776548684,0.0217770589124445,0.811538053090583,0.998312576243869,0.998542694210452
"CM030322.1:106810863",0.742679467744754,0.739422828283515,0.00887232130155294,0.965883879496796,0.998896252323356
"CM030322.1:107216408",0.645780485797192,0.822240625488093,0.00705880621126191,0.995949529893361,0.990029373143021
"CM030322.1:107474087",0.834869742762417,0.963729535798927,0.037081780527593,0.99998373797515,0.99998373797515
"CM030322.1:108302502",0.215381887892056,0.985848647317329,0.0145050592106855,0.99998373797515,0.99998373797515
"CM030322.1:115532431",0.155991727947452,0.000167768666975891,0.936397358340438,0.99998373797515,0.937808073794377
"CM030322.1:115618454",0.27777407167756,0.0450432218776463,0.977038783171021,0.99998373797515,0.99998373797515
"CM030322.1:118846045",0.124665864488251,0.0202265993757494,0.936330598593547,0.99998373797515,0.99998373797515
"CM030322.1:121678594",0.0177846745190984,0.120124078481711,0.171960368658671,0.995057170439932,0.99998373797515
"CM030322.1:123061795",0.0553878971968155,0.00601005059466985,0.192545776951723,0.99998373797515,0.816430433732174
"CM030322.1:131809692",0.138512186061174,0.99998373797515,0.020171665041228,0.999395989014923,0.91440014955359
"CM030322.1:156834003",0.130528836558739,0.0462491922793635,0.99998373797515,0.892480314942411,0.99998373797515
"CM030322.1:170006119",0.0200502359711663,0.0301780332738918,0.94458790579388,0.99998373797515,0.981666899286669
"CM030322.1:176158658",0.675103297493183,0.99998373797515,0.00775438726621374,0.988088145223983,0.969426068533028
"CM030322.1:181867532",0.99998373797515,0.265902652960493,0.0353520262152114,0.99998373797515,0.982604489684488
"CM030322.1:194104877",0.99998373797515,0.99998373797515,0.000910957363131732,0.373614341299752,0.979947376949665
"CM030322.1:236397785",0.348681747806246,0.00449048937382069,0.563818512548225,0.953596079291268,0.99998373797515
"CM030322.1:236607787",0.812767079813903,0.0348575041986299,0.998312576243869,0.99998373797515,0.99998373797515
"CM030322.1:239372834",7.52760933729448e-05,3.35862948886191e-05,0.84793113098764,0.998896252323356,0.99998373797515
"CM030322.1:241780289",0.328071439239493,0.99998373797515,0.0133526683412921,0.934879814755678,0.998896252323356
"CM030322.1:256574794",0.904359559327002,0.988819743622223,0.0454827230674204,0.769546714189007,0.743621308676935
"CM030322.1:288147271",0.0209903542745057,0.047176730385892,0.859473949149785,0.99998373797515,0.804236560342033
"CM030322.1:300621728",0.57619146291873,0.99998373797515,0.991618798116417,0.0450432218776463,0.372739968240538
"CM030322.1:335357986",0.994388889144288,0.7914533378187,0.00130458338902292,0.591239777814594,0.705921708402274
"CM030322.1:359473985",0.00151182119681696,0.852973906163635,0.167566391934619,0.99998373797515,0.834500549641547
"CM030322.1:365334640",0.99998373797515,0.99998373797515,0.0447762891309307,0.99998373797515,0.99998373797515
"CM030322.1:387970255",0.0466659418324769,0.0792243038316134,0.99998373797515,0.99998373797515,0.99998373797515
"CM030322.1:390337577",0.807838424550878,0.0481180759852104,0.642367542502242,0.998007048257618,0.99998373797515
"CM030322.1:404045333",0.320198005970665,0.99998373797515,0.0140516349133894,0.99998373797515,0.975877908987737
"CM030322.1:408876221",0.00533685251355463,0.00290579303652924,0.991394019443504,0.99998373797515,0.802508002706182
"CM030322.1:421502283",0.00144558004515787,0.000964165264141812,0.668927386599873,0.925312434831186,0.99998373797515
"CM030322.1:463487964",0.0194503049118724,0.361603600793288,0.99998373797515,0.849704679194263,0.99998373797515
"CM030322.1:469705741",0.196082824591249,0.0305953926037367,0.99998373797515,0.752230782507939,0.979582933090317
"CM030322.1:473167040",0.0700047154786586,0.0151719545471819,0.993639362756721,0.99998373797515,0.936940578116621
"CM030322.1:479949164",0.00454481815960192,0.010742948025313,0.97539020680099,0.99998373797515,0.99998373797515
"CM030322.1:480622529",0.00245164686329637,0.00124630603714813,0.99998373797515,0.99998373797515,0.99998373797515
"CM030322.1:492105384",0.99998373797515,0.99998373797515,0.0332871741328182,0.99998373797515,0.397922886149574
"CM030322.1:509896843",0.0109695759642113,0.358350517797803,0.99998373797515,0.905023966479221,0.773054294733353
"CM030322.1:562626588",0.737670290305822,0.99998373797515,0.481495664674408,0.99998373797515,0.0136092520031794
"CM030322.1:565864255",0.99998373797515,0.0486674863778462,0.99998373797515,0.779637294493287,0.946393425133964
"CM030322.1:600094048",0.908792207646074,0.99998373797515,0.0366550288469094,0.99998373797515,0.786374653556231
"CM030322.1:625776092",0.00839736392559185,0.0345321721265095,0.737074743687173,0.991485594109171,0.156850792253875
"CM030322.1:653459664",0.43861396734764,0.99998373797515,0.0288836011418025,0.99998373797515,0.995797216520596
"CM030322.1:657739400",0.506081604214798,0.0184568671646135,0.878651541290535,0.989118008658238,0.99998373797515
"CM030322.1:657739499",0.213963443021541,0.0109038973491105,0.968459471285174,0.99998373797515,0.803134540737858
"CM030322.1:659324034",0.373409915504069,0.00978355805009985,0.626176801027884,0.99998373797515,0.981698637537479
"CM030322.1:660422740",0.647291299205879,0.0317271354884098,0.62543825511324,0.99998373797515,0.844480695682896
"CM030322.1:660604189",0.284530462319178,0.0094574660011119,0.915341329281442,0.995835401553877,0.993639362756721
"CM030322.1:667790767",0.00801702428968124,0.99998373797515,1.62212614373124e-05,0.979822503991911,0.985210575252446
"CM030322.1:672319392",0.425074443187599,0.0278230431371913,0.985606008113181,0.29383213240202,0.998021958629083
"CM030322.1:676718164",0.0145182948623952,0.0201164252463568,0.823804435043002,0.99998373797515,0.99998373797515
"CM030322.1:676740755",0.261692679917129,0.00151182119681696,0.99998373797515,0.672048957546804,0.997736714950862
"CM030322.1:685696395",0.387339923704821,0.99998373797515,0.0287419957883089,0.99998373797515,0.99998373797515
"CM030322.1:697387837",0.834867471445406,0.0345786411756223,0.437328518040631,0.99998373797515,0.545149722194966
"CM030322.1:698549327",0.000186140336906083,3.21020937709668e-06,0.99998373797515,0.986592807762456,0.99998373797515
"CM030322.1:702844988",0.876944140524068,0.963738992358799,0.0196317248117985,0.977249963170576,0.993761697592988
